index,filename,source,config,chi,x,y,einsteinR,sigma,sigma2,theta,nterms
"pm01",exactpm-s01.png,s,p,50, 24,-68,48,21,0,0,16
"pm02",exactpm-s02.png,s,p,50, 35,-29, 3,43,0,0,16
"0003",exactpm-s03.png,s,p,50, 57,-47,50,47,0,0,16
"0004",exactpm-s04.png,s,p,50,-60,-50,25, 5,0,0,16
"0005",exactpm-s05.png,s,p,50,-20, -3,48,27,0,0,16
"pm06",exactpm-e06.png,e,p,50, 24,-68,48,21,10,30,16
"pm07",exactpm-e07.png,e,p,50, 35,-29, 3,43,10,30,16
"0008",exactpm-e08.png,e,p,50, 57,-47,50,47,10,30,16
"0009",exactpm-e09.png,e,p,50,-60,-50,25, 5,10,30,16
"0010",exactpm-e10.png,e,p,50,-20, -3,48,27,10,30,16
"t011",exactpm-t011.png,t,p,50, 24,-68,48,21,0,0,16
"t012",exactpm-t012.png,t,p,50, 35,-29, 3,43,0,30,16
"t013",exactpm-t013.png,t,p,50, 57,-47,50,47,0,75,16
"t014",exactpm-t014.png,t,p,50,-60,-50,25, 5,0,60,16
"t015",exactpm-t015.png,t,p,50,-20, -3,48,27,0,115,16
"r001",roulettepm-s001.png,s,r,50, 24,-68,48,21,0,0,16
"r002",roulettepm-s002.png,s,r,50, 35,-29, 3,43,0,0,16
"r003",roulettepm-s003.png,s,r,50, 57,-47,50,47,0,0,16
"r004",roulettepm-s004.png,s,r,50,-60,-50,25, 5,0,0,16
"r005",roulettepm-s005.png,s,r,50,-20, -3,48,27,0,0,16
"r006",roulettepm-s006.png,s,r,50,-30,-25,20,20,0,0,16
"tr11",roulettepm-t11.png,t,r,50, 24,-68,48,21,0,0,16
"tr12",roulettepm-t12.png,t,r,50, 35,-29, 3,43,0,30,16
"tr13",roulettepm-t13.png,t,r,50, 57,-47,50,47,0,75,16
"tr14",roulettepm-t14.png,t,r,50,-60,-50,25, 5,0,60,16
"tr15",roulettepm-t15.png,t,r,50,-20, -3,48,27,0,115,16
"sss01",sampled-roulette-sis-s01.png,s,ss,50, 24,-68,48,21,0,0,16
"sss02",sampled-roulette-sis-s02.png,s,ss,50, 35,-29, 3,43,0,0,16
"sss03",sampled-roulette-sis-s03.png,s,ss,50, 57,-47,50,47,0,0,16
"sss04",sampled-roulette-sis-s04.png,s,ss,50,-60,-50,25, 5,0,0,16
"sss05",sampled-roulette-sis-s05.png,s,ss,50,-20, -3,48,27,0,0,16
"sss06",sampled-roulette-sis-s06.png,s,ss,50,-30,-25,20,20,0,0,16
"sss11",sampled-roulette-sis-t11.png,t,ss,50, 24,-68,48,21,0,0,16
"sss12",sampled-roulette-sis-t12.png,t,ss,50, 35,-29, 3,43,0,30,16
"sss13",sampled-roulette-sis-t13.png,t,ss,50, 57,-47,50,47,0,75,16
"sss14",sampled-roulette-sis-t14.png,t,ss,50,-60,-50,25, 5,0,60,16
"sss15",sampled-roulette-sis-t15.png,t,ss,50,-20, -3,48,27,0,115,16
"ss021",sampled-raytrace-sis-s021.png,s,pss,50, 24,-68,48,21,0,0,16
"ss022",sampled-raytrace-sis-s022.png,s,pss,50, 35,-29, 3,43,0,0,16
"ss023",sampled-raytrace-sis-s023.png,s,pss,50, 57,-47,50,47,0,0,16
"ss024",sampled-raytrace-sis-s024.png,s,pss,50,-60,-50,25, 5,0,0,16
"ss025",sampled-raytrace-sis-s025.png,s,pss,50,-20, -3,48,27,0,0,16
"ss026",sampled-raytrace-sis-s026.png,s,pss,50,-30,-25,20,20,0,0,16
"sf021",sampled-raytrace-sis-t021.png,t,pss,50, 24,-68,48,21,0,0,16
"sf022",sampled-raytrace-sis-t022.png,t,pss,50, 35,-29, 3,43,0,0,16
"sf023",sampled-raytrace-sis-t023.png,t,pss,50, 57,-47,50,47,0,0,16
"sf024",sampled-raytrace-sis-t024.png,t,pss,50,-60,-50,25, 5,0,0,16
"sf025",sampled-raytrace-sis-t025.png,t,pss,50,-20, -3,48,27,0,0,16
"sf026",sampled-raytrace-sis-t026.png,t,pss,50,-30,-25,20,20,0,0,16
"ss01",roulette-sis-s01.png,s,fs,50, 24,-68,48,21,0,0,16
"ss02",roulette-sis-s02.png,s,fs,50, 35,-29, 3,43,0,0,16
"ss03",roulette-sis-s03.png,s,fs,50, 57,-47,50,47,0,0,16
"ss04",roulette-sis-s04.png,s,fs,50,-60,-50,25, 5,0,0,16
"ss05",roulette-sis-s05.png,s,fs,50,-20, -3,48,27,0,0,16
"ss06",roulette-sis-s06.png,s,fs,50,-30,-25,20,20,0,0,16
"ss11",roulette-sis-t11.png,t,fs,50, 24,-68,48,21,0,0,16
"ss12",roulette-sis-t12.png,t,fs,50, 35,-29, 3,43,0,30,16
"ss13",roulette-sis-t13.png,t,fs,50, 57,-47,50,47,0,75,16
"ss14",roulette-sis-t14.png,t,fs,50,-60,-50,25, 5,0,60,16
