index,filename,source,lens,chi,x,y,einsteinR,sigma,sigma2,theta,nterms
"0001",image-0001.png,s,p,40,13,-117,14,6,0,0,16
"0002",image-0002.png,s,p,44,-56,-108,18,14,0,0,16
"0003",image-0003.png,s,p,54,118,-9,3,32,0,0,16
"0004",image-0004.png,s,p,36,74,10,44,59,0,0,16
"0005",image-0005.png,s,p,57,102,-95,43,66,0,0,16
"0006",image-0006.png,s,p,38,-106,-29,39,6,0,0,16
"0007",image-0007.png,s,p,35,-2,-36,33,57,0,0,16
"0008",image-0008.png,s,p,32,-1,-37,39,48,0,0,16
"0009",image-0009.png,s,p,34,-107,-49,2,33,0,0,16
"0010",image-0010.png,s,p,43,114,59,9,52,0,0,16
"0011",image-0011.png,s,p,60,-85,-36,43,59,0,0,16
"0012",image-0012.png,s,p,49,-26,120,18,30,0,0,16
"0013",image-0013.png,s,p,51,-123,72,12,19,0,0,16
"0014",image-0014.png,s,p,67,108,-50,3,18,0,0,16
"0015",image-0015.png,s,p,45,77,120,19,7,0,0,16
"0016",image-0016.png,s,p,68,102,-102,43,49,0,0,16
"0017",image-0017.png,s,p,45,95,-30,47,53,0,0,16
"0018",image-0018.png,s,p,38,109,38,19,70,0,0,16
"0019",image-0019.png,s,p,61,76,111,32,51,0,0,16
"0020",image-0020.png,s,p,58,124,-96,24,42,0,0,16
"0021",image-0021.png,s,p,42,89,-124,38,61,0,0,16
"0022",image-0022.png,s,p,51,-60,109,11,56,0,0,16
"0023",image-0023.png,s,p,34,-5,94,15,28,0,0,16
"0024",image-0024.png,s,p,49,-114,-5,49,31,0,0,16
"0025",image-0025.png,s,p,69,-93,69,20,44,0,0,16
"0026",image-0026.png,s,p,63,-117,-48,43,11,0,0,16
"0027",image-0027.png,s,p,55,11,-114,40,21,0,0,16
"0028",image-0028.png,s,p,47,-11,110,7,37,0,0,16
"0029",image-0029.png,s,p,35,37,-78,48,21,0,0,16
"0030",image-0030.png,s,p,64,-101,-122,19,51,0,0,16
"0031",image-0031.png,s,p,64,71,-10,42,10,0,0,16
"0032",image-0032.png,s,p,37,73,-67,19,41,0,0,16
"0033",image-0033.png,s,p,49,50,-111,37,59,0,0,16
"0034",image-0034.png,s,p,54,119,97,50,46,0,0,16
"0035",image-0035.png,s,p,61,-95,119,2,46,0,0,16
"0036",image-0036.png,s,p,44,3,20,31,68,0,0,16
"0037",image-0037.png,s,p,51,-110,49,18,61,0,0,16
"0038",image-0038.png,s,p,68,110,-61,19,63,0,0,16
"0039",image-0039.png,s,p,30,31,-16,10,60,0,0,16
"0040",image-0040.png,s,p,41,-23,122,42,65,0,0,16
"0041",image-0041.png,s,p,45,-40,-18,14,30,0,0,16
"0042",image-0042.png,s,p,31,67,-100,5,64,0,0,16
"0043",image-0043.png,s,p,52,5,-46,8,6,0,0,16
"0044",image-0044.png,s,p,53,-50,123,3,62,0,0,16
"0045",image-0045.png,s,p,58,5,-1,37,5,0,0,16
"0046",image-0046.png,s,p,44,98,7,30,33,0,0,16
"0047",image-0047.png,s,p,46,-103,-87,8,54,0,0,16
"0048",image-0048.png,s,p,36,-53,26,4,15,0,0,16
"0049",image-0049.png,s,p,68,-11,60,5,7,0,0,16
"0050",image-0050.png,s,p,69,-82,-39,13,35,0,0,16
"0051",image-0051.png,s,p,69,-6,22,1,51,0,0,16
"0052",image-0052.png,s,p,67,-20,45,25,41,0,0,16
"0053",image-0053.png,s,p,43,100,-104,2,11,0,0,16
"0054",image-0054.png,s,p,65,52,46,30,54,0,0,16
"0055",image-0055.png,s,p,45,-113,-57,11,63,0,0,16
"0056",image-0056.png,s,p,34,-88,57,46,64,0,0,16
"0057",image-0057.png,s,p,63,-74,110,16,37,0,0,16
"0058",image-0058.png,s,p,32,-18,11,1,8,0,0,16
"0059",image-0059.png,s,p,65,40,-64,46,57,0,0,16
"0060",image-0060.png,s,p,43,105,-105,36,64,0,0,16
"0061",image-0061.png,s,p,69,-38,64,11,20,0,0,16
"0062",image-0062.png,s,p,61,103,-17,41,6,0,0,16
