index,filename,source,config,chi,x,y,einsteinR,sigma,theta,nterms
"ts00",image-ts00.png,t,rs,50,35,0,10,36,0,16
"ts30",image-ts30.png,t,rs,50,35,0,10,36,30,16
"ts60",image-ts60.png,t,rs,50,35,0,10,36,60,16
"ts90",image-ts90.png,t,rs,50,35,0,10,36,90,16
"tp00",image-tp00.png,t,p,50,35,0,10,36,0,16
"tp30",image-tp30.png,t,p,50,35,0,10,36,30,16
"tp60",image-tp60.png,t,p,50,35,0,10,36,60,16
"tp90",image-tp90.png,t,p,50,35,0,10,36,90,16
"ts00",image-tf00.png,t,fs,50,35,0,10,36,0,16
"ts30",image-tf30.png,t,fs,50,35,0,10,36,30,16
"ts60",image-tf60.png,t,fs,50,35,0,10,36,60,16
"ts90",image-tf90.png,t,fs,50,35,0,10,36,90,16
"tp00",image-tr00.png,t,r,50,35,0,10,36,0,16
"tp30",image-tr30.png,t,r,50,35,0,10,36,30,16
"tp60",image-tr60.png,t,r,50,35,0,10,36,60,16
"tp90",image-tr90.png,t,r,50,35,0,10,36,90,16
