index,filename,source,config,chi,x,y,einsteinR,sigma,sigma2,theta,nterms
"ss021",sampled-raytrace-sis-s021.png,s,pss,50, 24,-68,48,21,0,0,16
"ss022",sampled-raytrace-sis-s022.png,s,pss,50, 35,-29, 3,43,0,0,16
"ss023",sampled-raytrace-sis-s023.png,s,pss,50, 57,-47,50,47,0,0,16
"ss024",sampled-raytrace-sis-s024.png,s,pss,50,-60,-50,25, 5,0,0,16
"ss025",sampled-raytrace-sis-s025.png,s,pss,50,-20, -3,48,27,0,0,16
"ss026",sampled-raytrace-sis-s026.png,s,pss,50,-30,-25,20,20,0,0,16
"sf021",sampled-raytrace-sis-t021.png,t,pss,50, 24,-68,48,21,0,0,16
"sf022",sampled-raytrace-sis-t022.png,t,pss,50, 35,-29, 3,43,0,0,16
"sf023",sampled-raytrace-sis-t023.png,t,pss,50, 57,-47,50,47,0,0,16
"sf024",sampled-raytrace-sis-t024.png,t,pss,50,-60,-50,25, 5,0,0,16
"sf025",sampled-raytrace-sis-t025.png,t,pss,50,-20, -3,48,27,0,0,16
"sf026",sampled-raytrace-sis-t026.png,t,pss,50,-30,-25,20,20,0,0,16
"s021",raytrace-sis-s021.png,s,rs,50, 24,-68,48,21,0,0,16
"s022",raytrace-sis-s022.png,s,rs,50, 35,-29, 3,43,0,0,16
"s023",raytrace-sis-s023.png,s,rs,50, 57,-47,50,47,0,0,16
"s024",raytrace-sis-s024.png,s,rs,50,-60,-50,25, 5,0,0,16
"s025",raytrace-sis-s025.png,s,rs,50,-20, -3,48,27,0,0,16
"s026",raytrace-sis-s026.png,s,rs,50,-30,-25,20,20,0,0,16
"f021",raytrace-sis-t021.png,t,rs,50, 24,-68,48,21,0,0,16
"f022",raytrace-sis-t022.png,t,rs,50, 35,-29, 3,43,0,0,16
"f023",raytrace-sis-t023.png,t,rs,50, 57,-47,50,47,0,0,16
"f024",raytrace-sis-t024.png,t,rs,50,-60,-50,25, 5,0,0,16
"f025",raytrace-sis-t025.png,t,rs,50,-20, -3,48,27,0,0,16
"f026",raytrace-sis-t026.png,t,rs,50,-30,-25,20,20,0,0,16
"e01",raytrace-sis-e06.png,e,rs,50, 24,-68,48,21,10,30,16
"e02",raytrace-sis-e07.png,e,rs,50, 35,-29, 3,43,10,30,16
"e03",raytrace-sis-e08.png,e,rs,50, 57,-47,50,47,10,30,16
"e04",raytrace-sis-e09.png,e,rs,50,-60,-50,25, 5,10,30,16
"e05",raytrace-sis-e10.png,e,rs,50,-20, -3,48,27,10,30,16
"e06",sampled-raytrace-sis-e06.png,e,pss,50, 24,-68,48,21,10,30,16
"e07",sampled-raytrace-sis-e07.png,e,pss,50, 35,-29, 3,43,10,30,16
"e08",sampled-raytrace-sis-e08.png,e,pss,50, 57,-47,50,47,10,30,16
"e09",sampled-raytrace-sis-e09.png,e,pss,50,-60,-50,25, 5,10,30,16
"e10",sampled-raytrace-sis-e10.png,e,pss,50,-20, -3,48,27,10,30,16
