index,filename,source,config,chi,x,y,einsteinR,sigma,sigma2,theta,nterms
"s001",rotatedsis-s001.png,s,s,50, 24,-68,48,21,0,0,16
"s002",rotatedsis-s002.png,s,s,50, 35,-29, 3,43,0,0,16
"s003",rotatedsis-s003.png,s,s,50, 57,-47,50,47,0,0,16
"s004",rotatedsis-s004.png,s,s,50,-60,-50,25, 5,0,0,16
"s005",rotatedsis-s005.png,s,s,50,-20, -3,48,27,0,0,16
"s006",rotatedsis-s006.png,s,s,50,-30,-25,20,20,0,0,16
"s006",rotatedsis-e06.png,e,s,50, 24,-68,48,21,10,30,16
"s007",rotatedsis-e07.png,e,s,50, 35,-29, 3,43,10,30,16
"s008",rotatedsis-e08.png,e,s,50, 57,-47,50,47,10,30,16
"s009",rotatedsis-e09.png,e,s,50,-60,-50,25, 5,10,30,16
"s010",rotatedsis-e10.png,e,s,50,-20, -3,48,27,10,30,16
"ts11",rotatedsis-t11.png,t,s,50, 24,-68,48,21,0,0,16
"ts12",rotatedsis-t12.png,t,s,50, 35,-29, 3,43,0,30,16
"ts13",rotatedsis-t13.png,t,s,50, 57,-47,50,47,0,75,16
"ts14",rotatedsis-t14.png,t,s,50,-60,-50,25, 5,0,60,16
"ts15",rotatedsis-t15.png,t,s,50,-20, -3,48,27,0,115,16
